ENSMUSG00000002396	ENSMUST00000110051
ENSMUSG00000002396	ENSMUST00000110052
ENSMUSG00000002409	ENSMUST00000085901
ENSMUSG00000002413	ENSMUST00000002487
ENSMUSG00000002416	ENSMUST00000128064
ENSMUSG00000002416	ENSMUST00000135671
ENSMUSG00000002416	ENSMUST00000146793
ENSMUSG00000002428	ENSMUST00000002502
ENSMUSG00000002455	ENSMUST00000002529
ENSMUSG00000002458	ENSMUST00000108769
ENSMUSG00000002475	ENSMUST00000117828
ENSMUSG00000002477	ENSMUST00000002551
ENSMUSG00000002489	ENSMUST00000114124
ENSMUSG00000002496	ENSMUST00000226284
ENSMUSG00000002496	ENSMUST00000226309
ENSMUSG00000002496	ENSMUST00000226691
ENSMUSG00000002496	ENSMUST00000226985
ENSMUSG00000002496	ENSMUST00000227432
ENSMUSG00000002504	ENSMUST00000002572
ENSMUSG00000002524	ENSMUST00000100527
ENSMUSG00000002524	ENSMUST00000227251
ENSMUSG00000002546	ENSMUST00000100194
ENSMUSG00000002546	ENSMUST00000126276
ENSMUSG00000002546	ENSMUST00000146544
ENSMUSG00000002546	ENSMUST00000149141
ENSMUSG00000002550	ENSMUST00000002625
ENSMUSG00000002578	ENSMUST00000133342
ENSMUSG00000002580	ENSMUST00000002655
ENSMUSG00000002588	ENSMUST00000002663
ENSMUSG00000002602	ENSMUST00000002677
ENSMUSG00000002603	ENSMUST00000002678
ENSMUSG00000002608	ENSMUST00000002683
ENSMUSG00000002617	ENSMUST00000037057
ENSMUSG00000002625	ENSMUST00000050214
ENSMUSG00000002635	ENSMUST00000002710
ENSMUSG00000002658	ENSMUST00000002733
ENSMUSG00000002660	ENSMUST00000002735
ENSMUSG00000002661	ENSMUST00000002737
ENSMUSG00000002661	ENSMUST00000074141
ENSMUSG00000002668	ENSMUST00000011623
ENSMUSG00000002679	ENSMUST00000161211
ENSMUSG00000002679	ENSMUST00000161902
ENSMUSG00000002699	ENSMUST00000052413
ENSMUSG00000002699	ENSMUST00000109329
ENSMUSG00000002718	ENSMUST00000002790
ENSMUSG00000002718	ENSMUST00000129061
ENSMUSG00000002718	ENSMUST00000145819
ENSMUSG00000002728	ENSMUST00000002805
ENSMUSG00000002728	ENSMUST00000129502
ENSMUSG00000002728	ENSMUST00000134759
ENSMUSG00000002731	ENSMUST00000002808
ENSMUSG00000002732	ENSMUST00000002809
ENSMUSG00000002732	ENSMUST00000147355
ENSMUSG00000002733	ENSMUST00000111920
ENSMUSG00000002741	ENSMUST00000002818
ENSMUSG00000002748	ENSMUST00000002825
ENSMUSG00000002748	ENSMUST00000176793
ENSMUSG00000002748	ENSMUST00000201894
ENSMUSG00000002763	ENSMUST00000144964
ENSMUSG00000002767	ENSMUST00000002844
ENSMUSG00000002768	ENSMUST00000002845
ENSMUSG00000002769	ENSMUST00000002846
ENSMUSG00000002769	ENSMUST00000147112
ENSMUSG00000002778	ENSMUST00000002855
ENSMUSG00000002781	ENSMUST00000209350
ENSMUSG00000002781	ENSMUST00000209395
ENSMUSG00000002781	ENSMUST00000209580
ENSMUSG00000002797	ENSMUST00000131475
ENSMUSG00000002797	ENSMUST00000204770
ENSMUSG00000002803	ENSMUST00000220567
ENSMUSG00000002804	ENSMUST00000221397
ENSMUSG00000002812	ENSMUST00000002889
ENSMUSG00000002814	ENSMUST00000002891
ENSMUSG00000002820	ENSMUST00000065005
ENSMUSG00000002820	ENSMUST00000215767
ENSMUSG00000002825	ENSMUST00000002902
ENSMUSG00000002831	ENSMUST00000190703
ENSMUSG00000002833	ENSMUST00000224655
ENSMUSG00000002833	ENSMUST00000224701
ENSMUSG00000002833	ENSMUST00000225208
ENSMUSG00000002833	ENSMUST00000225342
ENSMUSG00000002833	ENSMUST00000225731
ENSMUSG00000002844	ENSMUST00000002923
ENSMUSG00000002845	ENSMUST00000002924
ENSMUSG00000002846	ENSMUST00000002925
ENSMUSG00000002847	ENSMUST00000002926
ENSMUSG00000002870	ENSMUST00000058011
ENSMUSG00000002870	ENSMUST00000204365
ENSMUSG00000002871	ENSMUST00000152045
ENSMUSG00000002871	ENSMUST00000153885
ENSMUSG00000002881	ENSMUST00000069792
ENSMUSG00000002885	ENSMUST00000002964
ENSMUSG00000002885	ENSMUST00000075843
ENSMUSG00000002897	ENSMUST00000204239
ENSMUSG00000002900	ENSMUST00000002979
ENSMUSG00000002908	ENSMUST00000110078
ENSMUSG00000002910	ENSMUST00000002989
ENSMUSG00000002910	ENSMUST00000212508
ENSMUSG00000002910	ENSMUST00000212898
ENSMUSG00000002910	ENSMUST00000213095
ENSMUSG00000002944	ENSMUST00000170051
ENSMUSG00000002948	ENSMUST00000062686
ENSMUSG00000002948	ENSMUST00000110998
ENSMUSG00000002949	ENSMUST00000149827
ENSMUSG00000002957	ENSMUST00000003038
